,question,correct,options
44,Which action does the Hypothalamus does NOT perform,Facilites sympathetic nervous system activity,"['Facilites sympathetic nervous system activity', 'Promotes muscle mass', 'Increase blood glucose levels', 'Increase fat metabolism']"
45,Which 2 substances are hormones can be made from?,Lipids and animo acids,"['Glucagon and amino acids', 'Lipids and animo acids', 'Testosterone and Cortisol', 'Fats and Carbojydrates']"
46,Which gland increases glycogen synthesis?,Thyroid,"['Pancreas', 'Pituitary', 'Thyroid', 'Adrenals']"
47,Which 2 glands both increase blood glucose levels?,Pituitary and Thyorid,"['Pituitary and Adrenals', 'Pituitary and Thyorid', 'Pituitary and Parathyorid', 'Pituitary and Pancreas']"
48,What is the main By product of using the aerobic system,Carbon Dioxide,"['Pruveric Acid', 'Hydrogen Ions', 'Carbon Dioxide', 'Water Vapour']"
49,What is the equation for cardiac output?,Stroke Volume x Heart Rate,"['Heart Rate x Tidal Volume', 'Heart Rate x Tidal Volume', 'Stroke Volume x Heart Rate', 'Stroke Volume x Residual Volume']"
50,Which muscle of the pelvic girdie's joint action includes  Flexion of the knee and  flexion/laterial rotation of the hip?,Sartorius,"['Tensor Fascia Latae', 'Sartorius', 'Lliacus', 'Psoas Major']"
51,Which anterior abdominal muscles joint action includes flexion of the vertebral column and tilts the pelvis backwards?,Rectus abdominis,"['Transverse abdominis', 'Internal obliques', 'External obliques', 'Rectus abdominis']"
52,Which 2 muscles in the shoulder joint  actions both induce medial rotation?,Teres Major and Deltoids,"['Teres Major and Deltoids', 'Teres Minor and Deltoids', 'Latissmus dorsi and Deltoids', 'Subscainatus and Deltoids']"
53,Which muscle in the erector Spinae group joint action does NOT extends the spine.,Quadratus Lumborum,"['Longuissimus group', 'Spinalis', 'Lliocostailis group', 'Quadratus Lumborum']"
54,Which muscle in the erector spinae group assists in preventing hyperflexion of the lumbar spine?,Quadratus Lumborum,"['Multifidus', 'Longuissimus group', 'Spinalis', 'Quadratus Lumborum']"
55,What is the insertion of the Rhomboids?,Medial Border of the scapula,"['Spine of Scapula and lateral edge of Clavicle', 'Anterior surface of the medial border of the scapula', 'Coracoid process of the Scapula', 'Medial Border of the scapula']"
56,What is the insertion of the Deltoids?  ,Lateral surface of the humerus (nearly half way down),"['Humerus (Proxmal,anterior)', 'Lateral surface of the humerus (nearly half way down)', 'Top of the humerus (anterior)', 'Top of the humerus']"
57,What is the insertion of the Infraspinatus Muscle,Laterally on the head of the humerus,"['Laterally on the head of the humerus', 'Superiorly on the head of the humerus', 'Anteriorly on the head of the humerus', 'Inferiority on the base of the humerus']"
58,What is the insertion of the Brachialis?,Ulna,"['Top of the radius and biceptal aponurosis to medial part of the forearm.', 'Laterally at the distal end of the radius', 'Ulna', 'Olceranon of the Ulna']"
59,What is the insertion of the Spinalis?,Spinous processes of superior vertebrae to origin,"['Upper 4 lumbar vertebrae and lower margin of the 12th rib', 'Transverse processes of the cervial verebrae and ribs superior to origin', 'Spinous processes 2-4 superior to the origin', 'Spinous processes of superior vertebrae to origin']"
60,What is the insertion of the external obliques?,"Mainly linea alba, also lilac crest","['Linea Alba', 'Mainly linea alba, also lilac crest', 'Linea alba, bottom 3 ribs.', 'Carilages of ribs 5-7 and the base of the sternum']"
61,What is the insertion of the IIiacus?,Top of the femur (shares a tendon with psoas major),"['Tibia (medially)', 'Top of the femur (shares a tendon with illacus)', 'Lliotibial tract/band', 'Top of the femur (shares a tendon with psoas major)']"
62,What is the insertion of the piriformis?,Top of the Femur (greater trochanter),"['Top of the Femur (greater trochanter)', 'Top of the Tibia (just below the knee joint)', 'Laterally on the top of the femur', 'Medial/posterior surface of the femur']"
63,What is the insertion of the Tibialis anterior?,Underside of medial cuneiform bone and first metatarsal,"['Underside of medial cuneiform bone and first metatarsal', 'Calcneal (Achilles) tendon', 'Calcaneus', 'Calcaneus via Calcaneal (Achilles) tendon']"
64,What is the insertion of the Levator scapulae?,"Medial border of the scapula, between the superior angle and the root of the spine of the scapula","['Medial border of the scapula, between the superior angle and the root of the spine of the scapula', 'Spine of scapular and lateral edge of clavicle', 'Coracoid process of the scapula.', 'Medial border of the scapula']"
65,What does Flexion movement achieve anatomically?,Flexion decreases the angle a a joint moving it away from the anatomical position.,"['Flexion increases the angle a a joint moving it towards from the anatomical position.', 'Flexion decreases the angle a a joint moving it towards from the anatomical position.', 'Flexion increases the angle a a joint moving it away from the anatomical position.', 'Flexion decreases the angle a a joint moving it away from the anatomical position.']"
66,What does extension movement achieve anatomically?,"Extension increases the angle at the joint, taking it back to the anatomical position","['Extension decreases the angle at the joint, taking it back to the anatomical position', 'Extension decreases the angle at the joint, taking it away from the starting anatomical position', 'Extension increases the angle at the joint, taking it back to the anatomical position', 'Extension increases the angle at the joint, taking it away from the starting anatomical position']"
67,What does abduction movement achieve anatomically?,Moves a limb or body part away from the midline,"['Moves a limb or body part towards the midline', 'Moves any part of the body towards the midline', 'Moves a limb or body part away from the midline', 'Moves a joint towards from the midline']"
68,What does adduction movement achieve anatomically?,Moves a limb or body part towards the midline,"['Moves the body away from mid line.', 'Moves a joint away from the midline', 'Moves a limb or body part away from the midline', 'Moves a limb or body part towards the midline']"
69,What does Elevation movement achieve anatomically?,Elevation moves a body upwards in the frontal plane,"['Elevation moves a body upwards in the medial plane', 'Elevation moves a body upwards in the frontal plane', 'Elevation moves a body upwards in the transverse plane', 'Elevation moves a body upwards in the sagittal plane']"
70,What does Depression movement achieve anatomically?,Depression is pushing a body part down in the frontal plane.,"['Depression is pushing a body part down in the sagittal plane.', 'Depression is pushing a body part down in the transverse plane.', 'Depression is pushing a body part down in the medial plane.', 'Depression is pushing a body part down in the frontal plane.']"
71,What does Protraction movement achieve anatomically?,Protraction is gliding movements backwards in the transverse plane,"['Protraction is gliding movements backwards in the sagittal plane', 'Protraction is gliding movements backwards in the medial plane', 'Protraction is gliding movements backwards in the transverse plane', 'Protraction is gliding movements backwards in the frontal plane']"
72,What does Retraction movement achieve anatomically?,Retraction is gliding movements forwards in the transverse plane,"['Retraction is gliding movements forwards in the transverse plane', 'Retraction is gliding movements forwards in the medial plane', 'Retraction is gliding movements forwards in the sagittal plane', 'Retraction is gliding movements forwards in the frontal plane']"
73,What does Horizontal flexion achieve anatomically?,Horizontal flexion moves a limb across the body in the transverse plane,"['Horizontal flexion moves a limb across the body in the sagittal plane', 'Horizontal flexion moves a limb across the body in the lateral plane', 'Horizontal flexion moves a limb across the body in the transverse plane', 'Horizontal flexion moves a limb across the body in the medial plane']"
74,What does horizontal extension achieve anatomically?,Horizontal extension moves an limb across the body back to original position in the transverse plane,"['Horizontal extension moves an limb across the body back to original position in the medial plane', 'Horizontal extension moves an limb across the body back to original position in the sagittal plane', 'Horizontal extension moves an limb across the body back to original position in the transverse plane', 'Horizontal extension moves an limb across the body back to original position in the frontal plane']"
75,What does lateral flexion achieve anatomically?,This occurs when bending the spine to the side in the frontal plane.,"['This occurs when bending the spine to the side in the medial plane.', 'This occurs when bending the spine to the side in the frontal plane.', 'This occurs when bending the spine to the side in the medial plane.', 'This occurs when bending the spine to the side in the sagittal plane.']"
76,What does lateral extension achieve anatomically?,This occurs when straightening up the spine from a sideways bend in the frontal plane,"['This occurs when straightening up the spine from a sideways bend in the transverse plane', 'This occurs when straightening up the spine from a sideways bend in the laterial plane', 'This occurs when straightening up the spine from a sideways bend in the sagittal plane', 'This occurs when straightening up the spine from a sideways bend in the frontal plane']"
77,What does Rotation achieve anatomically?,Turning of a bone around on its own long axis in the transverse plane,"['Turning of a bone around on its own long axis in the lateral plane', 'Turning of a bone around on its own long axis in the transverse plane', 'Turning of a bone around on its own long axis in the frontal plane', 'Turning of a bone around on its own long axis in the medial plane']"
78,What does Supination achieve anatomically?,Turning the palm of the hands upwards using the transverse plane,"['Turning the palm of the hands upwards using the transverse plane', 'Turning the palm of the hands upwards using the medial plane', 'Turning the palm of the hands upwards using the lateral plane', 'Turning the palm of the hands upwards using the sagittal plane']"
79,What does Pronation achieve anatomically?,Turning the palm of the hand downwards using the transverse plane,"['Turning the palm of the hand downwards using the frontal plane', 'Turning the palm of the hand downwards using the sagittal plane', 'Turning the palm of the hand downwards using the medial plane', 'Turning the palm of the hand downwards using the transverse plane']"
80,What does Plantar Flexion achieve anatomically?,Pointing the toes downwards in the sagittal plane,"['Pointing the toes downwards in the frontal plane', 'Pointing the toes downwards in the sagittal plane', 'Pointing the toes downwards in the medial plane', 'Pointing the toes downwards in the transverse plane']"
81,What does Dorsiflexion achieve anatomically?,Pointing the toes upwards in the sagittal plane,"['Pointing the toes upwards in the frontal plane', 'Pointing the toes upwards in the sagittal plane', 'Pointing the toes upwards in the medial plane', 'Pointing the toes upwards in the transverse plane']"
82,Doing  an Olympic Clean exercise occurs in which anatomical plane,Sagittal Plane,"['Transverse Plane', 'Sagittal Plane', 'Frontal Plane', 'Lateral Plane']"
83,Which exercise occurs in the frontal plane?,Side Bends,"['Bicep Curls', 'Squats', 'Side Bends', 'Leg Extensions']"
84,Which exercise occurs in the Sagittal plane?,Walking Lunges,"['Lateral raises', 'Standing hip adduction', 'Walking Lunges', 'Standing hip abduction']"
85,Which anatomical plane does Kyphosis occur?,Sagittal Plane,"['Medial Plane', 'Transverse Plane', 'Sagittal Plane', 'Frontal Plane']"
86,Which anatomical plane does Lordosis occur?,Sagittal Plane,"['Frontal Plane', 'Medial Plane', 'Transverse Plane', 'Sagittal Plane']"
87,Which anatomical plane does Scoliosis occur?,Frontal Plane,"['Transverse Plane', 'Sagittal Plane', 'Frontal Plane', 'Medial Plane']"
88,Where is the origin of the Suprasinatus muscle?,Superior to the spine of the scapula,"['Lateral border of the scapula near the inferior angle', 'Superior to the spine of the scapula', 'Inferior to the spine of the scapula', 'Anterior surface of the scapula']"
89,Where is the origin of the Subscapularis muscle?,Anterior surface of the scapula,"['Superior to the spine of the scapula', 'Inferior to spine of the scapula', 'Lateral border of the scapula near the inferior angle', 'Anterior surface of the scapula']"
90,Where is the origin of the Infraspinatus muscle?,Inferior to spine of the scapula,"['Lateral border of the scapula near the inferior angle', 'Anterior surface of the scapula', 'Inferior to spine of the scapula', 'Superior to the spine of the scapula']"
91,Which one of these muscles is not part of the hamstring group?,Vectus Fermoris,"['Semimembranosus', 'Bicep Fermoris', 'Semitendonosus', 'Vectus Fermoris']"
92,Where is the origin of the Teres Minor muscle?,Lateral border of the scapula near the inferior angle,"['Inferior to spine of the scapula', 'Lateral border of the scapula near the inferior angle', 'Anterior surface of the scapula', 'Superior to the spine of the scapula']"
93,Where is the origin of the biceps brachii muscle?,Scapula,"['Laterally at the distal end of the humerus', 'Scapula', 'Humerus', 'Long head of the scapula just above the shoulder joint']"
94,Where is the origin of the Brachialis muscle?,Humerus,"['Humerus', 'Laterally at the distal end of the humerus', 'Long head of the scapula just above the shoulder joint', 'Scapula']"
95,Where is the origin of the Brachioradialis muscle?,Laterally at the distal end of the humerus,"['Long head of the scapula just above the shoulder joint', 'Laterally at the distal end of the humerus', 'Scapula', 'Humerus']"
96,Where is the origin of the Triceps Brachii muscle?,Long head of the scapula just above the shoulder joint,"['Laterally at the distal head of the humerus', 'Long head of the scapula just above the shoulder joint', 'Scapula', 'Humerus']"
97,When doing a Standing Hamstring Stretch which muscles are being worked?,• Biceps Femoris • Semimembranosus • Semitendinosus,"['• Trapezius\n• Anterior fibres of Deltoid\n• Biceps Brachii', '• Biceps Femoris\n• Semimembranosus\n• Semitendinosus', '• Rectus Femoris\n• Vastus Medialis\n• Vastus Lateralis\n• Vastus Intermedius', '• Trapezius\n• Anterior fibres of Deltoid\n• Biceps Brachii']"
98,When doing a Standing Quadriceps Stretch which muscles are being worked?,• Rectus Femoris • Vastus Medialis • Vastus Lateralis • Vastus Intermedius,"['• Soleus\n• Tibialis Posterior\n• Flexor Digitorum Longus', '• Biceps Femoris\n• Semimembranosus\n• Semitendinosus', '• Gluteus Maximus\n• Erector Spinae\n• Biceps Femoris\n• Semitendinosus\n• Semimembranosus\n• Rectus Femoris', '• Rectus Femoris\n• Vastus Medialis\n• Vastus Lateralis\n• Vastus Intermedius']"
99,When doing a Barbell Deadlift which muscles are being worked?,• Gluteus Maximus • Erector Spinae • Biceps Femoris • Semitendinosus • Semimembranosus • Rectus Femoris,"['• Gluteus Maximus\n• Erector Spinae\n• Biceps Femoris\n• Semitendinosus\n• Semimembranosus\n• Rectus Femoris', '• Biceps femoris\n• Semimembranosus\n• Semitendinosus\n• Gluteus maximus\n• Rectus Femoris\n• Deltoid\n• Trapezius', '• Gluteus maximus\n• Biceps femoris\n• Semimembranosus\n• Semitendinosus', '• Rectus abdominus\n• Transversus abdominus\n• Erector spinae']"
100,When performing an Upright Row which muscles are being worked?,• Trapezius • Anterior fibres of Deltoid • Biceps Brachii,"['• Trapezius\n• Posterior fibres of Deltoid\n• Tricep Brachii', '• Trapezius\n• Posterior fibres of Deltoid\n• Biceps Brachii', '• Trapezius\n• Anterior fibres of Deltoid\n• Brachioradialis', '• Trapezius\n• Anterior fibres of Deltoid\n• Biceps Brachii']"
101,When performing The Clean which muscles are being worked?,• Biceps femoris • Semimembranosus • Semitendinosus • Gluteus maximus • Rectus Femoris • Deltoid • Trapezius,"['• Gluteus Maximus\n• Erector Spinae\n• Biceps Femoris\n• Semitendinosus\n• Semimembranosus\n• Rectus Femoris', '• Biceps femoris\n• Semimembranosus\n• Semitendinosus\n• Gluteus maximus\n• Rectus Femoris\n• Deltoid\n• Trapezius', '• Gluteus maximus\n• Biceps femoris\n• Semimembranosus\n• Semitendinosus', '• Adductor Magnus\n• Adductor Longus\n\n• Adductor Brevis\n• Pectineus\n• Biceps Femoris\n• Semimembranosus\n• Semitendinosus']"
102,When performing a Barbell Squat which muscles are being worked?,• Rectus Femoris • Vastus Medialis • Vastus Lateralis • Vastus Intermedius • Biceps Femoris • Semimembranosus • Semitendinosus • Gluteus Maximus • Iliopsoas • Gastrocnemius • Soleus,"['• Gastrocnemius\n• Soleus\n• Tibialis Posterior\n• Flexor Digitorum Longus\n\n• Gastrocnemius\n\n• Gluteus Maximus\n• Erector Spinae\n• Biceps Femoris\n• Semitendinosus\n• Semimembranosus\n• Rectus Femoris', '• Biceps Femoris\n• Semimembranosus\n• Semitendinosus\n\n• Rectus Femoris\n• Vastus Medialis\n• Vastus Lateralis\n• Vastus Intermedius', '• Rectus Femoris\n• Vastus Medialis\n• Vastus Lateralis\n• Vastus Intermedius\n• Biceps Femoris\n• Semimembranosus\n• Semitendinosus\n• Gluteus Maximus\n• Iliopsoas\n• Gastrocnemius\n• Soleus', '• Adductor Magnus\n• Adductor Longus\n\n• Adductor Brevis\n• Pectineus\n• Latissimus Dorsi\n• Rectus abdominus\n• Transversus abdominus\n• Erector spinae\n• Gastrocnemius\n• Soleus\n• Tibialis Posterior\n• Flexor Digitorum Longus']"
103,When performing a Plank which muscles are being worked?,• Rectus abdominus • Transversus abdominus • Erector spinae,"['• Rectus abdominus\n• Transversus abdominus\n• Erector spinae', '• Gluteus Maximus\n• Iliopsoas\n• Gastrocnemius', '• Soleus\n• Tibialis Posterior\n• Flexor Digitorum Longus', '• Adductor Magnus\n• Adductor Longus\n\n• Adductor Brevis\n• Pectineus']"
104,When performing a Soleus Stretch which muscles are being worked?,• Soleus • Tibialis Posterior • Flexor Digitorum Longus,"['• Soleus\n• Tibialis Anterior\n• Flexor Digitorum Longus', '• Soleus\n• Tibialis Posterior\n• Flexor Digitorum Longus', '• Soleus\n• Tibialis Anterior\n• Flexor Digitorum brevis', '• Soleus\n• Tibialis Posterior\n• Flexor Digitorum magnus']"
105,If working the ATP-PC system what intensity should you be working at.,95-100%,"['85-100%', '90-100%', '80-100%', '95-100%']"
106,If working the lactic acid system what's the intensity you should work at?,75-85%,"['60-85%', '75-85%', '65-85%', '70-80%']"
107,If working the aerobic energy system what intensity should you work at?,60-75%,"['60-80%', '55-75%', '60-75%', '55-70%']"
108,The breakdown of glycogen into pyruvic acid results in the production of how many molecules of ATP,Two,"['Four', 'Two', 'Eight', 'Six']"
109,Which one of these is can lead to Ballistic stretching if uncontrolled?,Dynamic,"['Dynamic', 'PNF', 'Static', 'Yoga']"
110,What is the explanation for deep (local) ,Further away from the surface,"['Further away from the origin or point of attachment', 'Further away from the surface', 'Closer to the origin or point of attachment', 'Nearest to the surface']"
111,What is the function of the spinal cord?,To transmit information to the whole body,"['To supply hormones to the whole body', 'To help support the vertebral column', 'To transmit information to the whole body', 'To transmit information to the heart']"
112,What is the explanation for superficial (global),Nearest to the surface,"['Away from the midline of the body', 'On one side of the body', 'Towards the midline of the body', 'Nearest to the surface']"
113,Plaque deposits on the walls of blood vessels may be decreased by:,An improved active lifestyle,"['An improved active lifestyle', 'Reducing consumption of red meat', 'Smoking', 'Genetic factors']"
114,What is the explanation for distal?,Further away from the origin or point of attachment,"['Away from the midline of the body', 'At the back of the body', 'Further away from the origin or point of attachment', 'Towards the lower part of a structure (below)']"
115,Which sensory organs register changes in blood pressure?,Baroreceptors,"['Chemoreceptors', 'Baroreceptors', 'Bio receptors', 'Thermoreceptors']"
116,What is the explanation for Proximal?,Closer to the origin or point of attachment,"['Further away from the surface', 'Away from the midline of the body', 'Closer to the origin or point of attachment', 'At the front of the body']"
117, Which action is performed by the muscle pictured below?,Flexion of the knee,"['Extension of the knee', 'Flexion of the knee', 'Abduction of the hip', 'Adduction of the hip']"
118,What is the explanation of Medial?,Towards the midline of the body,"['Towards the midline of the body', 'At the front of the body', 'Away from the midline of the body', 'On one side of the body']"
119,How can the vascular system increase blood flow to a specific area of the body?,By vasodilation of arterioles leading to that area of the body,"['By vasoconstriction of venules leading to that area of the body', 'By vasoconstriction of the arterioles leading to that area of the body', 'By vasodilation of arterioles leading to that area of the body', 'By vasodilation of venules leading to that area of the body']"
120,When performing push ups which are the main 4 muscles being used?,"Pectoralis Major, Triceps brachii, anterior fibres of deltoid and serratus anterior","['Pectoralis Major, Triceps brachii, posterior fibres of deltoid and serratus anterior', 'Pectoralis Major, Biiceps brachii, anterior fibres of deltoid and serratus anterior', 'Pectoralis Major, Triceps brachii, anterior fibres of deltoid and serratus anterior', 'Pectoralis Minor, Triceps brachii, anterior fibres of deltoid and serratus anterior']"
121,What muscle contributes to the extension of the vertebral column?,Multifidus,"['Quadratus Lumborum', 'Longuissimus group', 'Pectineus', 'Multifidus']"
122,Which one of these muscles is NOT used when performing a Plank?,External Obliques,"['Erector Spinae', 'External Obliques', 'Transverse abdominous', 'Rectus abomdinous']"
123,Which muscle helps to maintain a neutral spine position?,Quadratus lumborum,"['Quadratus lumborum', 'Tibialis anterior', 'Transverse Abdominis', 'Rectus abdominis']"
124,Which two muscles are being worked when performing crunches?,Rectus Abdominus/Transverse Abdominus,"['Eternal Obliques/Transverse Abdominus', 'Internal Obliques/External Obliques', 'Rectus Abdominus/Transverse Abdominus', 'Rectus Abdominus/Internal Obliques']"
125,"If a client with moderate hypertension began regular cardiovascular training, resting and exercising blood pressures can be reduced by:as much as",Up to 10mmHg,"['Up to 10mmHg', 'Up to 5mmHg', 'Up to 15mm Hg', 'Up to 9mm Hg']"
126,Which one of these muscles is NOT used when performing a Twisting Crunch?,Erector Spinae,"['Rectus Abdominius', 'Transverse Abdominius', 'Internal Obliques', 'Erector Spinae']"
127,The ovaries release hormones which can ,Decrease hair growth on the body,"['Activate milk production in women who are breast feeding', 'Decrease hair growth on the body', 'Promote bone growth and development', 'Stimulate the production of testosterone']"
128,Which one of these muscles is used when performing a Dorsal Raise?,Multifidus,"['Multifidus', 'Quadratus lumborum', 'Sartoris', 'Psoas major']"
129,Which statement describes the systolic blood pressure response during exercise?,It Increases under the influence of the autonomic nervous system,"['It Increases under the influence of the somatic nervous system', 'It decreases under the influence of the autonomic nervous system', 'It Increases under the influence of the autonomic nervous system', 'It decreases under the influence of the somatic nervous system']"
130,Which one of these muscles is NOT used when performing a Superman?,Quadratus lumborum,"['Transverse Abdominus', 'Quadratus lumborum', 'Erector Spinae', 'Multifidus']"
131,Which of the following muscles does NOT attach to the ribs and the iliac crest?,Rectus abdominis,"['External obliques', 'Rectus abdominis', 'Internal obliques', 'Transverse absominis']"
